room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12884614,48814118,Private room,SOUTHEAST,MCKENZIE TOWNE,0,,1,1,20,1,50.922035,-113.972364,38:24.8
5394900,27715982,Entire home/apt,CENTRE,HILLHURST,11,4.5,4,1,61,3,51.05143,-114.100279,37:00.4
13867042,68073273,Entire home/apt,CENTRE,TUXEDO PARK,9,5,4,2,70,,51.07604,-114.061153,37:00.2
14283866,22506106,Entire home/apt,CENTRE,CRESCENT HEIGHTS,1,,5,2,79,1,51.056451,-114.056499,36:57.7
11572267,60980498,Private room,SOUTH,MIDNAPORE,0,,1,1,48,1,50.909746,-114.052653,36:55.2
14166743,268,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,2,1,79,1,51.044425,-114.051994,36:51.6
10996253,3563134,Entire home/apt,CENTRE,BELTLINE,35,4.5,3,0,44,1,51.039685,-114.072434,36:48.2
1532983,8175696,Private room,CENTRE,TUXEDO PARK,5,3.5,1,1,33,3,51.079873,-114.062838,36:37.3
13116094,72946456,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,4,4,4,2,100,2,51.050596,-114.057158,36:29.7
10458203,34614520,Entire home/apt,NORTHEAST,SKYVIEW RANCH,0,,4,2,78,2,51.162015,-113.950834,36:26.5
13533934,24641496,Private room,CENTRE,POINT MCKAY,2,,2,1,39,1,51.060836,-114.146645,36:13.2
3262668,2060315,Entire home/apt,CENTRE,BELTLINE,1,,4,2,280,4,51.040256,-114.074243,36:06.1
14577797,61181204,Private room,CENTRE,CHINATOWN,0,,2,1,62,2,51.051491,-114.06634,36:03.3
12473846,19213384,Entire home/apt,CENTRE,BELTLINE,0,,2,1,468,1,51.042776,-114.077675,36:00.6
3303727,10174070,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,6,5,4,1,75,1,51.049794,-114.040309,35:55.2
14383835,88310373,Entire home/apt,CENTRE,BELTLINE,0,,2,2,88,3,51.044269,-114.085786,35:53.1
8343336,2775410,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,5,2,96,1,51.052984,-114.040754,35:51.2
11992493,64116333,Private room,NORTHWEST,EDGEMONT,2,,2,1,36,1,51.128199,-114.13431,35:51.0
14450591,88375730,Private room,CENTRE,MISSION,0,,2,1,34,2,51.034292,-114.069759,35:47.3
8152959,42952856,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,4,2,111,3,51.051467,-114.041821,35:44.6
11638726,60401390,Private room,CENTRE,DOWNTOWN EAST VILLAGE,0,,2,1,53,1,51.049303,-114.055813,35:41.4
12304538,66344254,Private room,NORTH,PANORAMA HILLS,16,5,2,1,44,1,51.147785,-114.078574,35:40.7
3601913,11485957,Shared room,SOUTHEAST,CRANSTON,0,,2,1,32,1,50.876776,-113.975878,35:37.6
14557016,90139056,Entire home/apt,CENTRE,SOUTH CALGARY,0,,4,2,79,7,51.028875,-114.097089,35:37.1
6340909,8175696,Private room,CENTRE,TUXEDO PARK,12,4.5,4,1,36,1,51.079548,-114.062792,35:35.1
9564468,49517997,Entire home/apt,NORTHWEST,BRENTWOOD,0,,4,2,72,1,51.091051,-114.127709,35:29.9
7239783,12372789,Entire home/apt,CENTRE,CRESCENT HEIGHTS,31,4.5,4,1,72,1,51.060494,-114.06237,35:24.7
12829696,70014476,Private room,SOUTHEAST,COPPERFIELD,9,4.5,2,1,24,1,50.920272,-113.920307,35:18.5
13591529,34125486,Entire home/apt,CENTRE,BANKVIEW,2,,2,1,97,2,51.035644,-114.101806,35:15.5
13450026,4106106,Private room,CENTRE,INGLEWOOD,0,,3,1,119,1,51.042194,-114.031257,35:14.8
1197155,5161218,Private room,NORTH,THORNCLIFFE,42,5,2,1,28,2,51.104628,-114.060659,35:12.4
10434265,20130575,Entire home/apt,NORTHWEST,MONTGOMERY,4,5,6,3,144,2,51.072361,-114.161752,34:44.9
9779672,33380668,Entire home/apt,CENTRE,BANKVIEW,1,,4,2,80,3,51.035125,-114.097127,34:42.0
10923428,56621853,Private room,SOUTHEAST,AUBURN BAY,8,5,2,1,24,1,50.884733,-113.952234,34:39.9
13779969,24164905,Entire home/apt,NORTHWEST,VARSITY,2,,5,1,121,1,51.087433,-114.178533,34:30.0
9108330,31372319,Private room,CENTRE,POINT MCKAY,3,5,4,1,80,1,51.059889,-114.143283,34:25.9
13345504,69008257,Entire home/apt,CENTRE,BELTLINE,18,5,2,1,72,1,51.041101,-114.078941,34:18.4
3638700,3297275,Private room,NORTHEAST,MARLBOROUGH,35,5,2,1,36,1,51.057882,-113.970156,34:16.2
12586326,12365039,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,2,135,2,51.050188,-114.054655,34:09.6
4679268,24198839,Private room,CENTRE,CHINATOWN,0,,2,1,80,1,51.05257,-114.067187,34:04.1
14486413,89375598,Entire home/apt,CENTRE,BELTLINE,0,,4,2,89,2,51.041295,-114.065284,33:58.6
11294572,15744071,Entire home/apt,CENTRE,RENFREW,22,5,6,3,151,1,51.062212,-114.048759,33:53.5
8867545,35004071,Shared room,CENTRE,CAPITOL HILL,17,4.5,1,1,13,1,51.075785,-114.102769,33:51.6
13576721,14284389,Entire home/apt,NORTH,HUNTINGTON HILLS,11,4.5,10,6,140,2,51.12476,-114.051416,33:49.5
9137627,43857462,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,2,,6,2,75,1,51.04879,-114.074427,33:45.3
13116372,72956130,Entire home/apt,SOUTH,HAYSBORO,3,4.5,2,1,80,3,50.973662,-114.072275,33:44.8
14284213,87174529,Entire home/apt,CENTRE,BELTLINE,2,,4,1,96,2,51.041179,-114.055295,33:40.4
12269740,53576815,Private room,CENTRE,BELTLINE,1,,2,1,44,1,51.039218,-114.068243,33:37.7
6626903,25817587,Private room,EAST,DOVER,21,5,2,1,32,1,51.019424,-114.000123,33:36.8
8780979,42438891,Private room,CENTRE,MISSION,3,4.5,4,1,43,2,51.031879,-114.065726,33:33.6
13298846,68080277,Entire home/apt,NORTHWEST,BRENTWOOD,11,5,4,2,78,2,51.089321,-114.127145,33:30.5
12912983,70795856,Private room,CENTRE,BANFF TRAIL,0,,2,1,10,1,51.072892,-114.107421,33:27.5
732975,3563134,Entire home/apt,CENTRE,BELTLINE,152,4.5,4,1,71,1,51.038288,-114.071453,32:50.9
4065410,1386403,Entire home/apt,EAST,SOUTHVIEW,17,4.5,2,1,68,2,51.036402,-113.993372,32:45.6
5067559,26167849,Private room,NORTHEAST,MAYLAND HEIGHTS,68,5,1,1,31,1,51.062744,-114.004743,32:44.1
6939177,20971591,Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,18,5,3,1,48,1,51.069785,-114.047864,32:40.7
1880355,2097573,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,4,5,7,3,201,2,51.055483,-114.05173,32:33.1
7638343,40076871,Private room,CENTRE,KILLARNEY/GLENGARRY,23,5,2,1,36,1,51.034782,-114.13895,32:32.9
3979210,3297275,Entire home/apt,NORTHEAST,MARLBOROUGH,119,4.5,2,1,47,1,51.057967,-113.970001,32:26.6
13155576,1884998,Entire home/apt,CENTRE,SUNNYSIDE,3,5,3,2,96,2,51.053182,-114.083924,32:26.3
14474833,89215063,Private room,EAST,FOREST LAWN,0,,2,1,36,1,51.036347,-113.974246,32:22.3
51822,238951,Entire home/apt,CENTRE,CRESCENT HEIGHTS,8,5,3,1,71,5,51.052851,-114.058667,32:12.8
14523219,49708974,Entire home/apt,NORTH,HARVEST HILLS,0,,4,2,79,2,51.142549,-114.055217,32:09.1
13879732,3708360,Private room,CENTRE,LOWER MOUNT ROYAL,3,4.5,1,1,52,1,51.036216,-114.090704,32:03.8
488278,2415875,Private room,NORTHWEST,HAWKWOOD,1,,2,1,36,1,51.130415,-114.189109,31:59.8
13717025,33519194,Entire home/apt,CENTRE,CLIFF BUNGALOW,1,,3,1,48,1,51.036838,-114.073536,31:56.1
13319188,48264013,Private room,CENTRE,LOWER MOUNT ROYAL,0,,2,1,44,1,51.03756,-114.084874,31:54.6
5677830,29438307,Entire home/apt,SOUTH,ACADIA,4,5,4,3,116,2,50.966905,-114.061037,31:52.5
12106814,64918372,Private room,NORTH,HUNTINGTON HILLS,14,4,2,1,36,1,51.125865,-114.055756,31:45.1
13318033,34441675,Entire home/apt,CENTRE,MISSION,1,,4,2,280,3,51.036782,-114.068234,31:41.2
6957286,36478452,Private room,CENTRE,RICHMOND,20,5,1,1,36,2,51.034208,-114.108758,31:40.1
13591653,78530821,Entire home/apt,CENTRE,BANKVIEW,11,5,6,2,100,2,51.03268,-114.097998,31:34.6
12872089,70400006,Entire home/apt,NORTHWEST,UNIVERSITY OF CALGARY,3,4.5,5,2,96,1,51.072183,-114.124668,31:33.8
5801670,30099596,Entire home/apt,NORTHWEST,ROYAL OAK,26,4.5,4,1,56,7,51.149283,-114.217699,31:29.8
571485,2812754,Private room,NORTHWEST,ARBOUR LAKE,16,5,2,1,46,3,51.140319,-114.201458,31:28.2
4134280,4869295,Entire home/apt,CENTRE,SUNALTA,43,4.5,3,2,66,1,51.039406,-114.09676,31:19.7
14500559,8189144,Private room,NORTH,PANORAMA HILLS,0,,3,1,47,3,51.163427,-114.103334,31:19.5
7604667,39775518,Entire home/apt,CENTRE,BELTLINE,21,4.5,4,2,88,2,51.04065,-114.066028,31:17.1
11421917,5724507,Entire home/apt,CENTRE,BELTLINE,3,4.5,4,2,200,1,51.039455,-114.061511,31:16.4
10838333,56130454,Entire home/apt,SOUTH,SOUTHWOOD,19,5,2,1,40,2,50.958684,-114.081107,31:13.3
11949994,63812572,Private room,SOUTH,MILLRISE,0,,1,1,56,1,50.916849,-114.093254,31:01.1
14501448,18468660,Entire home/apt,NORTH,HUNTINGTON HILLS,0,,4,2,79,2,51.113481,-114.064179,31:00.9
8307214,43798606,Private room,CENTRE,PARKDALE,2,,2,1,32,1,51.056879,-114.133375,30:56.4
13335059,75501624,Shared room,NORTHWEST,BOWNESS,0,,2,1,72,1,51.095075,-114.212229,30:54.4
13030740,57014268,Entire home/apt,CENTRE,RENFREW,1,,3,1,80,2,51.05735,-114.051112,30:50.5
6984762,36621728,Entire home/apt,CENTRE,MISSION,27,5,3,1,67,,51.036391,-114.070833,30:46.6
6866287,35979662,Entire home/apt,CENTRE,BELTLINE,106,4.5,4,1,76,1,51.039433,-114.067599,30:46.5
9127829,47549398,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,167,4,51.04896,-114.06561,30:33.2
4669850,6173240,Private room,CENTRE,HIGHLAND PARK,29,5,2,1,33,1,51.087685,-114.060849,30:04.5
8651788,10621846,Entire home/apt,CENTRE,BELTLINE,7,4,2,1,72,4,51.041027,-114.071736,29:57.7
1559608,8300376,Entire home/apt,CENTRE,SUNNYSIDE,19,5,4,2,188,2,51.057151,-114.080312,29:55.7
10801124,21258369,Private room,WEST,ROSSCARROCK,23,4.5,2,1,29,1,51.03939,-114.143842,29:52.8
9426644,35298829,Private room,CENTRE,TUXEDO PARK,6,5,2,1,32,1,51.073795,-114.059104,29:51.4
320061,1639838,Entire home/apt,CENTRE,ALTADORE,1,,2,1,80,3,51.022283,-114.105174,29:48.1
13434992,12397912,Entire home/apt,CENTRE,BANKVIEW,9,5,4,2,79,2,51.035686,-114.101767,29:47.1
5248510,27162497,Entire home/apt,CENTRE,BELTLINE,23,5,6,2,164,2,51.038284,-114.059824,29:44.0
1033310,5686607,Private room,NORTHEAST,SADDLE RIDGE,0,,2,1,81,1,51.12428,-113.944731,29:40.7
12363178,66782327,Entire home/apt,CENTRE,CHINATOWN,0,,5,2,151,3,51.051789,-114.066702,29:40.3
14568310,45391202,Entire home/apt,CENTRE,BELTLINE,0,,4,1,71,1,51.040892,-114.085061,29:38.9
4000702,7861106,Entire home/apt,NORTHWEST,MONTGOMERY,15,5,6,2,180,3,51.063675,-114.149884,29:35.0
3447193,17372496,Private room,SOUTH,LAKE BONAVISTA,0,,1,1,68,1,50.944937,-114.038042,29:32.8
14408021,24982984,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,40,3,51.048759,-114.071592,29:30.9
14501342,15269154,Private room,SOUTH,ACADIA,0,,2,1,48,1,50.965995,-114.06353,29:24.8
13094541,72707054,Private room,SOUTH,CANYON MEADOWS,7,5,2,1,39,1,50.935646,-114.074083,29:24.1
13041419,30246919,Entire home/apt,CENTRE,MOUNT PLEASANT,7,5,10,4,201,2,51.069234,-114.079892,29:19.9
8640319,55155,Private room,CENTRE,MISSION,0,,2,1,121,1,51.030487,-114.066905,29:17.3
13958238,40826999,Shared room,WEST,GLENBROOK,0,,1,1,80,1,51.021218,-114.146391,29:16.4
6716819,35169037,Entire home/apt,CENTRE,BANKVIEW,18,5,4,2,95,2,51.03314,-114.095545,28:55.4
3248512,14698005,Private room,CENTRE,RAMSAY,0,,2,1,40,1,51.032478,-114.04194,28:52.6
13589165,78487266,Private room,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,2,,2,1,53,1,51.070188,-114.052607,28:49.4
13190104,73819366,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,2,,4,2,80,,51.049049,-114.043665,28:47.2
5060836,26134364,Entire home/apt,CENTRE,BELTLINE,31,5,2,1,95,7,51.038359,-114.066373,28:45.6
13508558,42735197,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,2,151,2,51.048402,-114.050614,28:45.0
6785537,35526220,Private room,CENTRE,CAMBRIAN HEIGHTS,0,,1,1,60,1,51.082205,-114.089509,28:42.4
8849572,46339530,Private room,SOUTH,SHAWNESSY,4,4.5,2,1,36,1,50.904124,-114.08601,28:41.3
13942857,81345678,Entire home/apt,CENTRE,BELTLINE,0,,4,1,212,3,51.043125,-114.082678,28:39.7
5947383,30740383,Private room,SOUTHEAST,COPPERFIELD,9,5,1,1,28,1,50.916482,-113.922732,28:29.9
6628555,16645415,Private room,CENTRE,HILLHURST,3,5,2,1,40,1,51.058386,-114.09559,28:28.5
8307712,25799313,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,72,2,51.049566,-114.07305,28:25.0
13867228,81990750,Private room,NORTHEAST,PINERIDGE,3,5,1,1,20,1,51.07231,-113.956834,27:56.5
13811935,63296012,Private room,NORTHWEST,BOWNESS,3,4.5,2,1,29,1,51.08735,-114.182022,27:52.6
